,date,tau_day,maturity_day,total,t0_payoff,T_payoff,trade,kernel,M,exp_total,id
201,2020-08-19,9,2020-08-28,99.69,99.69,0.0,K1,1.0,1.03,-0.01,422
202,2020-08-19,37,2020-09-25,-492.35,-792.91,300.57,K2,1.0,1.1,-0.0,423
532,2020-08-19,128,2020-12-25,0.0,0.0,0.0,-,1.0,0.5,,424
203,2020-08-20,8,2020-08-28,22.68,22.68,0.0,K1,1.0,1.03,-0.02,425
204,2020-08-20,36,2020-09-25,0.0,0.0,0.0,-,1.0,1.1,,426
533,2020-08-20,127,2020-12-25,0.0,0.0,0.0,-,1.0,0.5,,427
205,2020-08-21,7,2020-08-28,-6.35,-6.35,0.0,K1,1.0,1.04,-0.01,428
206,2020-08-21,14,2020-09-04,-202.64,49.67,-252.31,K1,1.0,1.15,-0.0,429
207,2020-08-21,35,2020-09-25,-745.35,-745.35,0.0,K2,1.0,1.11,-0.02,430
534,2020-08-21,126,2020-12-25,8493.06,-1112.44,9605.5,S1,1.0,0.5,-0.07,431
208,2020-08-22,13,2020-09-04,-203.43,33.94,-237.37,K1,1.0,1.13,-0.01,432
209,2020-08-22,34,2020-09-25,213.58,516.56,-302.98,K1,1.0,1.08,-0.0,433
210,2020-08-22,34,2020-09-25,-87.65,-1388.3,1300.66,K2,1.0,1.08,0.02,434
535,2020-08-22,125,2020-12-25,0.0,0.0,0.0,-,1.0,0.49,,435
211,2020-08-23,12,2020-09-04,-453.06,34.31,-487.37,K1,1.0,1.13,-0.01,436
212,2020-08-23,33,2020-09-25,57.47,360.45,-302.98,K1,1.0,1.09,-0.0,437
536,2020-08-23,124,2020-12-25,0.0,0.0,0.0,-,1.0,0.49,,438
213,2020-08-24,11,2020-09-04,-217.55,34.78,-252.33,K1,1.0,1.15,-0.0,439
214,2020-08-24,32,2020-09-25,25.1,328.08,-302.98,K1,1.0,1.1,-0.01,440
537,2020-08-24,123,2020-12-25,8797.61,-807.9,9605.51,S1,1.0,0.5,-0.04,441
215,2020-08-25,10,2020-09-04,-233.58,18.73,-252.32,K1,1.0,1.13,-0.01,442
216,2020-08-25,31,2020-09-25,84.46,84.46,0.0,K1,1.0,1.08,-0.02,443
538,2020-08-25,122,2020-12-25,8940.54,-665.0,9605.54,S1,1.0,0.49,-0.05,444
217,2020-08-26,9,2020-09-04,-260.77,-23.4,-237.37,K1,1.0,1.11,-0.01,445
218,2020-08-26,30,2020-09-25,108.07,108.07,0.0,K1,1.0,1.06,-0.01,446
539,2020-08-26,121,2020-12-25,8786.65,-818.92,9605.57,S1,1.0,0.48,-0.05,447
219,2020-08-27,8,2020-09-04,-253.86,-16.49,-237.37,K1,1.0,1.11,-0.01,448
220,2020-08-27,29,2020-09-25,36.37,36.37,0.0,K1,1.0,1.07,-0.01,449
540,2020-08-27,120,2020-12-25,9055.36,-550.21,9605.58,S1,1.0,0.48,-0.04,450
221,2020-08-28,7,2020-09-04,-539.0,-51.63,-487.37,K1,1.0,1.11,-0.02,451
222,2020-08-28,14,2020-09-11,-480.78,11.97,-492.75,K1,1.0,1.11,-0.02,452
223,2020-08-28,28,2020-09-25,109.76,109.76,0.0,K1,1.0,1.06,-0.01,453
404,2020-08-28,63,2020-10-30,0.0,0.0,0.0,-,1.0,0.86,,454
541,2020-08-28,119,2020-12-25,9381.43,-224.13,9605.56,S1,1.0,0.48,-0.03,455
224,2020-08-29,13,2020-09-11,-464.89,27.86,-492.75,K1,1.0,1.13,-0.02,456
225,2020-08-29,27,2020-09-25,124.12,124.12,0.0,K1,1.0,1.08,-0.01,457
405,2020-08-29,62,2020-10-30,0.0,0.0,0.0,-,1.0,0.87,,458
542,2020-08-29,118,2020-12-25,9086.44,-519.13,9605.57,S1,1.0,0.49,-0.03,459
226,2020-08-30,12,2020-09-11,-204.3,38.45,-242.75,K1,1.0,1.13,-0.02,460
227,2020-08-30,26,2020-09-25,-113.65,189.33,-302.98,K1,1.0,1.08,-0.01,461
406,2020-08-30,61,2020-10-30,-1005.22,1733.78,-2739.0,K1,1.0,0.88,0.04,462
543,2020-08-30,117,2020-12-25,9001.5,-604.04,9605.54,S1,1.0,0.49,-0.04,463
228,2020-08-31,11,2020-09-11,-247.0,5.33,-252.33,K1,1.0,1.13,-0.01,464
229,2020-08-31,25,2020-09-25,-180.94,122.04,-302.98,K1,1.0,1.09,-0.01,465
407,2020-08-31,60,2020-10-30,-704.8,1034.2,-1739.0,K1,1.0,0.88,0.02,466
544,2020-08-31,116,2020-12-25,8933.96,-671.56,9605.53,S1,1.0,0.49,-0.04,467
230,2020-09-01,10,2020-09-11,-241.28,11.11,-252.39,K1,1.0,1.16,-0.01,468
408,2020-09-01,59,2020-10-30,0.0,0.0,0.0,-,1.0,0.9,,469
545,2020-09-01,115,2020-12-25,9114.44,-491.05,9605.49,S1,1.0,0.5,-0.04,470
231,2020-09-02,9,2020-09-11,-239.17,3.58,-242.75,K1,1.0,1.15,-0.01,471
232,2020-09-02,16,2020-09-18,113.87,113.87,0.0,K1,1.0,1.07,0.01,472
233,2020-09-02,23,2020-09-25,98.4,98.4,0.0,K1,1.0,1.1,-0.0,473
409,2020-09-02,58,2020-10-30,0.0,0.0,0.0,-,1.0,0.89,,474
410,2020-09-02,86,2020-11-27,2907.43,-206.84,3114.27,S1,1.0,0.69,0.01,475
546,2020-09-02,114,2020-12-25,8896.75,-708.74,9605.49,S1,1.0,0.5,-0.03,476
234,2020-09-03,8,2020-09-11,-11.69,-11.69,0.0,K1,1.0,1.11,-0.01,477
235,2020-09-03,15,2020-09-18,-9.48,-9.48,0.0,K1,1.0,1.04,0.0,478
236,2020-09-03,22,2020-09-25,-54.79,-54.79,0.0,K1,1.0,1.06,-0.02,479
411,2020-09-03,57,2020-10-30,-1406.74,1095.53,-2502.27,K1,1.0,0.86,0.0,480
412,2020-09-03,85,2020-11-27,0.0,0.0,0.0,-,1.0,0.66,,481
547,2020-09-03,113,2020-12-25,10034.64,-571.02,10605.67,S1,1.0,0.48,-0.02,482
237,2020-09-04,7,2020-09-11,0.0,0.0,0.0,-,1.0,1.0,,483
238,2020-09-04,14,2020-09-18,0.0,0.0,0.0,-,1.0,0.94,,484
239,2020-09-04,21,2020-09-25,348.5,348.5,0.0,K1,1.0,0.96,-0.0,485
413,2020-09-04,56,2020-10-30,0.0,0.0,0.0,-,1.0,0.78,,486
414,2020-09-04,84,2020-11-27,0.0,0.0,0.0,-,1.0,0.6,,487
548,2020-09-04,112,2020-12-25,0.0,0.0,0.0,-,1.0,0.43,,488
240,2020-09-09,9,2020-09-18,236.53,236.53,0.0,K1,1.0,0.93,-0.0,489
241,2020-09-09,9,2020-09-18,387.6,-569.16,956.76,K2,1.0,0.93,-0.02,490
242,2020-09-09,16,2020-09-25,735.08,735.08,0.0,K1,1.0,0.95,-0.01,491
415,2020-09-09,51,2020-10-30,0.0,0.0,0.0,-,1.0,0.77,,492
549,2020-09-09,107,2020-12-25,-5937.69,-329.82,-5607.87,S2,1.0,0.43,-0.02,493
243,2020-09-10,8,2020-09-18,165.74,165.74,0.0,K1,1.0,0.94,0.0,494
244,2020-09-10,8,2020-09-18,279.91,-676.8,956.71,K2,1.0,0.94,-0.01,495
245,2020-09-10,15,2020-09-25,561.13,864.11,-302.98,K1,1.0,0.96,-0.01,496
246,2020-09-10,15,2020-09-25,-316.1,-316.1,0.0,K2,1.0,0.96,0.0,497
416,2020-09-10,50,2020-10-30,0.0,0.0,0.0,-,1.0,0.78,,498
417,2020-09-10,78,2020-11-27,0.0,0.0,0.0,-,1.0,0.6,,499
550,2020-09-10,106,2020-12-25,-4267.66,-659.79,-3607.87,S2,1.0,0.44,-0.05,500
247,2020-09-11,7,2020-09-18,14.95,14.95,0.0,K1,1.0,0.94,-0.0,501
248,2020-09-11,14,2020-09-25,360.91,360.91,0.0,K1,1.0,0.96,-0.03,502
249,2020-09-11,21,2020-10-02,319.57,319.57,0.0,K1,1.0,0.98,-0.02,503
418,2020-09-11,49,2020-10-30,0.0,0.0,0.0,-,1.0,0.77,,504
551,2020-09-11,105,2020-12-25,4615.56,-1382.39,5997.95,K2,1.0,0.43,-0.06,505
250,2020-09-12,13,2020-09-25,145.47,145.47,0.0,K1,1.0,0.97,-0.03,506
251,2020-09-12,20,2020-10-02,290.25,290.25,0.0,K1,1.0,0.99,-0.02,507
419,2020-09-12,48,2020-10-30,0.0,0.0,0.0,-,1.0,0.78,,508
420,2020-09-12,76,2020-11-27,-3336.15,-219.54,-3116.61,S2,1.0,0.6,-0.02,509
552,2020-09-12,104,2020-12-25,-8074.04,-466.17,-7607.87,S2,1.0,0.44,-0.0,510
252,2020-09-13,12,2020-09-25,88.71,88.71,0.0,K1,1.0,0.99,-0.01,511
253,2020-09-13,19,2020-10-02,268.19,268.19,0.0,K1,1.0,1.01,0.0,512
421,2020-09-13,47,2020-10-30,257.86,759.97,-502.11,K1,1.0,0.8,-0.03,513
553,2020-09-13,103,2020-12-25,-4202.64,-594.77,-3607.87,S2,1.0,0.45,-0.02,514
254,2020-09-19,13,2020-10-02,47.66,47.66,0.0,K1,1.0,1.04,-0.0,515
255,2020-09-19,20,2020-10-09,104.37,104.37,0.0,K1,1.0,1.0,-0.0,516
422,2020-09-19,41,2020-10-30,-388.57,113.66,-502.23,K1,1.0,0.82,-0.02,517
423,2020-09-19,69,2020-11-27,0.0,0.0,0.0,-,1.0,0.64,,518
424,2020-09-19,97,2020-12-25,0.0,0.0,0.0,-,1.0,0.46,,519
256,2020-09-20,12,2020-10-02,53.35,53.35,0.0,K1,1.0,1.05,-0.02,520
257,2020-09-20,19,2020-10-09,101.23,101.23,0.0,K1,1.0,1.01,0.01,521
425,2020-09-20,40,2020-10-30,-309.88,192.29,-502.17,K1,1.0,0.83,-0.01,522
426,2020-09-20,68,2020-11-27,0.0,0.0,0.0,-,1.0,0.64,,523
427,2020-09-20,96,2020-12-25,0.0,0.0,0.0,-,1.0,0.47,,524
258,2020-09-21,11,2020-10-02,39.92,39.92,0.0,K1,1.0,1.04,0.01,525
259,2020-09-21,18,2020-10-09,-5.09,-5.09,0.0,K1,1.0,1.0,-0.0,526
260,2020-09-21,39,2020-10-30,-250.7,251.44,-502.14,K1,1.0,0.82,-0.0,527
428,2020-09-21,67,2020-11-27,-1949.12,1053.01,-3002.12,K1,1.0,0.64,-0.02,528
429,2020-09-21,95,2020-12-25,0.0,0.0,0.0,-,1.0,0.46,,529
261,2020-09-22,10,2020-10-02,45.32,45.32,0.0,K1,1.0,0.99,-0.01,530
262,2020-09-22,17,2020-10-09,0.0,0.0,0.0,-,1.0,0.95,,531
263,2020-09-22,38,2020-10-30,-665.58,336.51,-1002.09,K1,1.0,0.78,-0.01,532
430,2020-09-22,66,2020-11-27,191.53,1193.63,-1002.09,K1,1.0,0.61,0.01,533
431,2020-09-22,94,2020-12-25,0.0,0.0,0.0,-,1.0,0.44,,534
264,2020-09-23,9,2020-10-02,-1.13,-1.13,0.0,K1,1.0,0.99,-0.01,535
265,2020-09-23,16,2020-10-09,24.63,24.63,0.0,K1,1.0,0.96,-0.0,536
266,2020-09-23,37,2020-10-30,-303.55,198.56,-502.11,K1,1.0,0.79,-0.03,537
267,2020-09-24,8,2020-10-02,38.73,38.73,0.0,K1,1.0,0.98,-0.0,538
268,2020-09-24,15,2020-10-09,66.37,66.37,0.0,K1,1.0,0.95,-0.01,539
269,2020-09-24,36,2020-10-30,-264.51,237.59,-502.1,K1,1.0,0.78,-0.03,540
432,2020-09-24,64,2020-11-27,-365.91,636.17,-1002.08,K1,1.0,0.6,-0.0,541
433,2020-09-24,92,2020-12-25,0.0,0.0,0.0,-,1.0,0.44,,542
270,2020-09-25,7,2020-10-02,38.75,38.75,0.0,K1,1.0,1.02,-0.01,543
271,2020-09-25,14,2020-10-09,3.9,3.9,0.0,K1,1.0,0.98,-0.0,544
272,2020-09-25,21,2020-10-16,88.09,88.09,0.0,K1,1.0,0.94,0.0,545
273,2020-09-25,35,2020-10-30,-730.16,271.98,-1002.14,K1,1.0,0.81,-0.02,546
434,2020-09-25,63,2020-11-27,-819.88,1182.27,-2002.15,K1,1.0,0.62,-0.02,547
435,2020-09-25,91,2020-12-25,0.0,0.0,0.0,-,1.0,0.45,,548
554,2020-09-25,182,2021-03-26,0.0,0.0,0.0,-,1.0,0.2,,549
274,2020-09-26,13,2020-10-09,0.0,0.0,0.0,-,1.0,0.98,,550
275,2020-09-26,20,2020-10-16,0.0,0.0,0.0,-,1.0,0.95,,551
276,2020-09-26,34,2020-10-30,-681.23,320.91,-1002.14,K1,1.0,0.81,-0.01,552
436,2020-09-26,62,2020-11-27,-1667.65,1334.49,-3002.14,K1,1.0,0.63,-0.0,553
437,2020-09-26,90,2020-12-25,0.0,0.0,0.0,-,1.0,0.45,,554
555,2020-09-26,181,2021-03-26,0.0,0.0,0.0,-,1.0,0.2,,555
