date,tau_day,h_m,h_m2,h_k
2020-03-05,8,0.08808942903791986,0.03334546449956607,215.06370585710144
2020-03-05,15,0.0945460017647933,0.035328177907703706,257.38142815049736
2020-03-05,8,0.08808942903791986,0.03334546449956607,215.06370585710144
2020-03-05,15,0.0945460017647933,0.03709261659223417,254.14646911639835
2020-03-05,22,0.3007474274875943,0.09344246650699405,385.81643546102623
2020-03-06,14,0.2697392895728053,0.05083542780665745,219.77252606217172
2020-03-06,21,0.09921466628968713,0.0413733019724838,355.06406518571066
2020-03-07,13,0.05490789939058216,0.0516654509492046,130.0162717268512
2020-03-07,20,0.17019028752520163,0.05289640799122203,395.2191768168577
2020-03-08,12,0.09124029796685537,0.0378158053948006,428.87522056546607
2020-03-08,19,0.09077953434948519,0.08602099429365362,358.4662253721987
2020-03-09,11,0.057185935020668155,0.057185935020668155,180.82802507325965
2020-03-09,18,0.19023986283013916,0.05824472276761616,371.4784071436447
2020-03-10,10,0.06332349954686625,0.059485190698536104,291.814722448914
2020-03-10,17,0.12859581539019294,0.06768953187698508,322.1930019450806
2020-03-11,9,0.07418090898582654,0.06894112463171234,272.13639544964064
2020-03-11,16,0.1580061228355996,0.04370096115977365,351.0145742311811
2020-03-12,8,0.06411680006270344,0.09601298000298239,180.84140276575053
2020-03-12,15,0.08220561136723925,0.07017918780619983,689.5244943436148
2020-03-13,14,0.1666406485213274,0.1133938628511253,547.8205257222472
2020-03-14,13,0.5810550368828975,0.07330553721520547,595.1631749938591
2020-03-18,9,0.1199588615947639,0.050464901868099876,327.8648726398882
2020-03-18,37,0.15597531388532582,0.05279429036691845,341.8721007607724
2020-03-19,8,0.07992517844143472,0.09749884125281975,470.2244617238505
2020-03-19,15,0.20155287440888173,0.14359232558898807,724.255052373659
2020-03-19,36,0.2192414081200731,0.10548366504097569,339.29602981339076
2020-03-20,14,0.08707129685740406,0.07964189726649938,734.4941107663338
2020-03-20,35,0.6183581476444032,0.11924464160244884,703.4867252126817
2020-03-21,13,0.027455202970257286,0.06687805851729338,406.3794885694968
2020-03-21,34,0.0853110874272499,0.07202912172001338,474.80306759660994
2020-03-22,12,0.15238475215766822,0.06410598985016638,335.0309988897992
2020-03-22,33,0.2895898955804431,0.07973618463434534,724.7823956288066
2020-03-23,11,0.13560605874208492,0.16023175662479577,588.2700150384665
2020-03-23,32,0.6713049897725097,0.036842825525647355,405.26432019059143
2020-03-29,12,0.060686072364724425,0.06923156087135654,345.93484717798106
2020-03-29,26,0.08622092767166653,0.10211982213594546,334.00465328883195
2020-03-30,11,0.11060779935689745,0.03931113193891554,367.6928101115336
2020-03-30,25,0.16818692600264817,0.07288570053928675,347.5645968676276
2020-03-31,10,0.08942105190398492,0.03759399949531535,169.5453824652038
2020-03-31,24,0.08226912619962588,0.08226912619962588,307.4352831867345
2020-04-01,9,0.1107146498592044,0.039525331349844,225.05714985200717
2020-04-01,23,0.08730929973895138,0.08730929973895138,266.46296112901933
2020-04-02,8,0.12838992349427886,0.054226664578993285,140.8657469643465
2020-04-02,15,0.11820275091506707,0.10909260762806484,180.57283013149151
2020-04-02,22,0.23274591235855208,0.10163723760674373,472.7013490194205
2020-04-03,14,0.09692017109353279,0.03494657265616904,262.61128178012154
2020-04-03,21,0.17342309674052306,0.07832314580206302,374.04972166878576
2020-04-04,13,0.13853793020744135,0.043518959278506936,254.3533996446841
2020-04-04,20,0.09579344004400356,0.020140848993062316,345.0816081346831
2020-04-05,12,0.11762973314722446,0.06023034462284162,241.93375895063377
2020-04-05,19,0.2620647833350879,0.08395835226883896,349.4236230593078
2020-04-06,11,0.0998508415335526,0.037476389766588195,184.73104490180185
2020-04-06,18,0.10162884242503405,0.02184964087418042,415.4232508517991
2020-04-07,10,0.08841389139478477,0.10003550329531787,178.93380948494035
2020-04-07,17,0.09317018675627872,0.08494684883534304,307.61932769777763
2020-04-08,9,0.09010319233418473,0.02869598596513603,242.7636126788552
2020-04-08,16,0.08706951180201593,0.06361036872582511,333.79577737603734
2020-04-09,8,0.07397990653704034,0.03397696293235227,199.0319782329637
2020-04-09,15,0.09375265826463149,0.06849287469074114,219.77076043316936
2020-04-10,14,0.09725721356903903,0.023629888907422042,338.1851588228733
2020-04-11,13,0.14313302414712728,0.01680193427927633,345.50141668571507
2020-04-14,10,0.03516955401557968,0.017894610053929658,321.63761113070274
2020-04-15,9,0.10489250744845321,0.015822360728546456,139.17927487462558
2020-04-16,8,0.10523243018685374,0.09184876336116009,284.70958377509135
2020-04-16,15,0.10690377371569496,0.04849584431136967,228.6987681746188
2020-04-18,13,0.0542802015890258,0.03094686825569247,166.8712465700219
2020-04-19,12,0.08104802247639589,0.0952639274698226,227.26450852974693
2020-04-19,40,0.13076361469479914,0.08533586637689748,1590.3737856734679
2020-04-20,11,0.08949285576102628,0.04775441245224344,262.4545379163063
2020-04-20,39,0.0702703297644171,0.12596635596854955,307.84319777982415
2020-04-21,10,0.06648717765065867,0.04353280297841331,149.55128274725797
2020-04-21,38,0.161864665167291,0.073954888389097,356.70007334062547
2020-04-22,9,0.1124728496030539,0.1124728496030539,218.38950143005684
2020-04-22,37,0.10897987581796328,0.08310337562374369,426.2592384200046
2020-04-23,8,0.091238507541198,0.07802156346755815,186.77686360035426
2020-04-23,15,0.11371876785134687,0.07889995308748396,113.68813233513848
2020-04-23,36,0.1083729346704368,0.10109780993309668,402.55348019133856
2020-04-24,14,0.11411322560096934,0.04791090248645978,241.9304113523693
2020-04-24,35,0.13922413168766828,0.07654699282892194,372.31677321639734
